,h3_7,lat,lon,index_deprivation
0,874995b84ffffff,19.43306433011641,-99.14556984768579,0.6212542202768216
1,874995bb1ffffff,19.41904362734438,-99.12568438356989,0.427653835440171
2,874995b86ffffff,19.442559730559548,-99.12259694911852,0.399770372302812
3,874995b80ffffff,19.45658286126225,-99.1424854227071,0.5226848852935689
4,874995b85ffffff,19.44708484440843,-99.16546155114372,0.01895310970194386
5,874995ba3ffffff,19.42356528670567,-99.16854188102891,0.3107225478813014
6,874995ba2ffffff,19.409547199155508,-99.14865318905485,0.9047781188643544
7,874995bb5ffffff,19.395528927933398,-99.12877073363987,0.3378175997724845
8,874995bb0ffffff,19.405022743335792,-99.10580516064927,0.7072890990252961
9,874995bb3ffffff,19.428536413814026,-99.1027147195098,0.510461504559449
10,874995b95ffffff,19.452051483713017,-99.09962319266495,0.9205656962605562
11,874995b82ffffff,19.466077229576022,-99.11950842973204,0.9314064461424265
12,874995b83ffffff,19.48010278458741,-99.1393999135653,0.9653832087967831
13,874995b81ffffff,19.470605798674335,-99.16238013842235,0.571922614593198
14,874995baaffffff,19.461105162972995,-99.18535949208328,0.02756022866848662
15,874995baeffffff,19.437583183340756,-99.18843680770163,0.9720979691497853
16,874995ba1ffffff,19.4140626046554,-99.19151304181158,0.5965803892074579
17,874995ba0ffffff,19.40004713357139,-99.17162112863075,0.3132652388511249
18,874995ba6ffffff,19.38603147638215,-99.15173544736734,0.7719802465243162
19,87499585bffffff,19.372015640326467,-99.13185599988171,0.44239123672880654
20,874995bb4ffffff,19.381510480278447,-99.10889451663719,0.40509146371884996
21,874995bb6ffffff,19.391001685330092,-99.08593218076994,0.9603763808498963
22,874995bb2ffffff,19.414512918269466,-99.08283873572704,0.9794705952409904
23,874995b94ffffff,19.43802555424649,-99.0797442042101,0.3688350116317105
24,874995b90ffffff,19.461539585260756,-99.07664858566471,0.12153716522856128
25,874995b91ffffff,19.475567945029606,-99.0965305795605,0.8420938287626055
26,874995b9cffffff,19.489596116387936,-99.11641882485648,0.9656708446677355
27,874995b9dffffff,19.5036240920833,-99.1363133197066,0.9036121726412478
28,874995b8effffff,19.49412814149506,-99.15929764231153,0.4400946108404109
29,874995b8cffffff,19.484628535544065,-99.18228109440385,0.9067590635775984
30,874995babffffff,19.47512527855867,-99.20526366863687,0.4232004914508861
31,874995ba8ffffff,19.451600881813658,-99.20833796720545,0.43886417691217716
32,874995bacffffff,19.428077882391396,-99.21141118504221,0.35669319390156207
33,874995b12ffffff,19.404556288299673,-99.21448332269922,0.831591784464952
34,874995ba5ffffff,19.390543434921995,-99.1945881949654,0.6837572585353558
35,874995ba4ffffff,19.376530393007922,-99.1746992945018,0.3237143116389757
36,874995859ffffff,19.36251716979591,-99.15481662317598,0.5073445577451501
37,874995858ffffff,19.3485037725204,-99.13494018284834,0.8937448911198145
38,87499585affffff,19.3579996326391,-99.1119827880271,0.9607894903799464
39,8749958e9ffffff,19.367491863425762,-99.0890245398929,0.19090461033369
40,8749958ebffffff,19.37698046056269,-99.06606544577085,0.9257642305262613
41,8749958cdffffff,19.400489251165624,-99.06296899960908,0.33702990537480504
42,8749958c9ffffff,19.42399944842055,-99.05987146620632,0.117864110193026
43,874995b96ffffff,19.44751104432981,-99.05677284500794,0.6743266209314008
