,pre-covid,pre-covid_cell,cell
0,0.6837572585353558,0.3378175997724845,874995bb5ffffff
1,0.9593502274640378,0.6837572585353558,874995ba5ffffff
2,0.1751669523845046,0.427653835440171,874995bb1ffffff
3,0.3603782079714914,0.1751669523845046,874995b16ffffff
4,0.5467908633829484,0.7431335479076642,87499584effffff
5,0.19738826000098852,0.9205656962605562,874995b95ffffff
6,0.1751669523845046,0.3107225478813014,874995ba3ffffff
7,0.0,0.1251673159690398,874995161ffffff
8,0.3107225478813014,0.2778630262080171,8749958edffffff
9,0.1251673159690398,0.9607894903799464,87499585affffff
10,0.3378175997724845,0.2618439242759539,8749958eaffffff
11,0.9607894903799464,0.1205259709092425,874995aa6ffffff
12,0.3378175997724845,0.5068721620231483,874995a34ffffff
13,0.427653835440171,0.0189531097019438,874995b85ffffff
14,0.7395260900553094,0.9314064461424264,874995b82ffffff
15,0.0,0.9656708446677356,874995b9cffffff
16,0.0,0.7395260900553094,874995b13ffffff
17,0.2618439242759539,0.1215371652285612,874995b90ffffff
