start_h3_7,end_h3_7,trip_count,year,week_number
873da18daffffff,873da1150ffffff,17,2020,32
873da1159ffffff,873da110cffffff,7,2020,32
873da1140ffffff,873da1155ffffff,56,2020,5
873da1149ffffff,873da18caffffff,32,2020,25
873da1170ffffff,873da1171ffffff,71,2020,29
873da18daffffff,873da1141ffffff,16,2020,23
873da115dffffff,873da1075ffffff,31,2020,23
873da1148ffffff,873da1024ffffff,38,2020,17
873da102effffff,873da115cffffff,58,2020,50
873da1148ffffff,873da1109ffffff,48,2020,45
873da1151ffffff,873da1153ffffff,70,2020,17
873da1176ffffff,873da102dffffff,6,2020,31
873da115dffffff,873da1171ffffff,98,2020,38
873da1176ffffff,873da18d8ffffff,48,2020,28
873da1025ffffff,873da110bffffff,25,2020,24
873da114bffffff,873da1020ffffff,56,2020,40
873da102effffff,873da1153ffffff,96,2020,10
873da115dffffff,873da1169ffffff,72,2020,36
873da116effffff,873da1168ffffff,40,2020,8
873da1ab6ffffff,873da18dbffffff,78,2020,11
873da1175ffffff,873da1b96ffffff,24,2020,9
873da18daffffff,873da115affffff,12,2020,35
873da1164ffffff,873da18daffffff,95,2020,20
873da1101ffffff,873da115effffff,43,2020,29
873da1162ffffff,873da110affffff,22,2020,35
873da1b92ffffff,873da1175ffffff,39,2020,35
873da116bffffff,873da102dffffff,29,2020,31
873da116effffff,873da1108ffffff,45,2020,16
873da1140ffffff,873da1146ffffff,42,2020,25
873da1151ffffff,873da1145ffffff,66,2020,16
873da110cffffff,873da1176ffffff,91,2020,10
873da1150ffffff,873da1154ffffff,58,2020,35
873da1166ffffff,873da115effffff,87,2020,18
873da114bffffff,873da1170ffffff,35,2020,30
873da1173ffffff,873da110affffff,28,2020,34
873da1176ffffff,873da116effffff,79,2020,34
873da1155ffffff,873da110cffffff,37,2020,44
873da1109ffffff,873da1170ffffff,98,2020,34
873da18d8ffffff,873da116effffff,33,2020,1
873da110dffffff,873da1128ffffff,93,2020,9
873da1b96ffffff,873da114dffffff,65,2020,5
873da18d9ffffff,873da112dffffff,24,2020,31
873da1158ffffff,873da1b93ffffff,70,2020,17
873da18dcffffff,873da116dffffff,49,2020,47
873da1166ffffff,873da1156ffffff,4,2020,29
873da1168ffffff,873da102dffffff,91,2020,49
873da1151ffffff,873da1143ffffff,90,2020,41
873da115affffff,873da1153ffffff,85,2020,27
873da1173ffffff,873da110bffffff,55,2020,5
873da18d9ffffff,873da115bffffff,79,2020,46
873da116affffff,873da114affffff,37,2020,41
873da1163ffffff,873da1154ffffff,80,2020,12
873da1ab2ffffff,873da1075ffffff,26,2020,19
873da115effffff,873da1156ffffff,47,2020,42
873da1154ffffff,873da18d8ffffff,30,2020,38
873da110dffffff,873da1175ffffff,5,2020,24
873da116affffff,873da1176ffffff,98,2020,1
873da1155ffffff,873da115cffffff,55,2020,8
873da1141ffffff,873da1160ffffff,41,2020,34
873da1149ffffff,873da115bffffff,39,2020,17
873da1149ffffff,873da114bffffff,92,2020,4
873da1168ffffff,873da114bffffff,55,2020,1
873da114bffffff,873da115cffffff,22,2020,19
873da1029ffffff,873da112bffffff,35,2020,39
873da1160ffffff,873da1156ffffff,49,2020,31
873da114dffffff,873da110dffffff,58,2020,10
873da1156ffffff,873da1163ffffff,85,2020,15
873da1075ffffff,873da1154ffffff,4,2020,6
873da1158ffffff,873da1028ffffff,75,2020,24
873da18deffffff,873da1176ffffff,61,2020,20
873da1b96ffffff,873da1129ffffff,50,2020,36
873da18daffffff,873da1171ffffff,68,2020,25
873da1170ffffff,873da1149ffffff,55,2020,35
873da1b92ffffff,873da1064ffffff,46,2020,34
873da1162ffffff,873da1152ffffff,82,2020,50
873da1143ffffff,873da1152ffffff,69,2020,49
873da1021ffffff,873da116effffff,46,2020,45
873da1b93ffffff,873da18ddffffff,61,2020,34
873da102dffffff,873da1020ffffff,86,2020,3
873da110bffffff,873da1173ffffff,8,2020,48
873da110effffff,873da1109ffffff,2,2020,18
873da115affffff,873da18daffffff,72,2020,16
873da1ab2ffffff,873da112dffffff,17,2020,14
873da18d8ffffff,873da1169ffffff,39,2020,34
873da102cffffff,873da102dffffff,18,2020,27
873da1166ffffff,873da1025ffffff,30,2020,16
873da116affffff,873da1162ffffff,5,2020,8
873da115dffffff,873da1143ffffff,93,2020,40
873da1162ffffff,873da110bffffff,27,2020,39
873da110cffffff,873da116bffffff,62,2020,44
873da1160ffffff,873da18caffffff,66,2020,18
873da18dbffffff,873da116dffffff,79,2020,20
873da110dffffff,873da1b93ffffff,26,2020,15
873da18d9ffffff,873da114bffffff,17,2020,18
873da1158ffffff,873da1066ffffff,53,2020,7
873da1155ffffff,873da18d8ffffff,80,2020,2
873da1151ffffff,873da116cffffff,82,2020,36
873da1023ffffff,873da114effffff,33,2020,16
873da112affffff,873da1146ffffff,40,2020,44
873da18d8ffffff,873da1162ffffff,42,2020,22
