start_h3_7,end_h3_7,trip_count,year,week_number
874995a34ffffff,874995843ffffff,84,2019,38
874995b82ffffff,874995b15ffffff,12,2019,37
874995a36ffffff,874995ba8ffffff,58,2019,52
87499584effffff,874995ba4ffffff,7,2019,6
874995a34ffffff,874995bb5ffffff,32,2019,46
874995b1affffff,874995b85ffffff,62,2019,45
874995b82ffffff,874995b13ffffff,28,2019,5
874995b8bffffff,874995859ffffff,19,2019,2
874995b95ffffff,8749958edffffff,35,2019,44
874995b15ffffff,874995bb6ffffff,37,2019,30
874995bb5ffffff,874995ba5ffffff,30,2019,13
87499584effffff,874995b95ffffff,48,2019,16
8749958e8ffffff,874995ba6ffffff,42,2019,9
874995b83ffffff,874995aa4ffffff,56,2019,5
874995848ffffff,874995bb6ffffff,35,2019,49
87499584affffff,874995b1affffff,9,2019,36
874995ba1ffffff,874995b9cffffff,77,2019,38
874995b9affffff,874995b90ffffff,5,2019,8
874995bb3ffffff,874995b88ffffff,60,2019,36
874995b91ffffff,874995858ffffff,74,2019,30
874995a36ffffff,874995b8effffff,76,2019,35
8749958cbffffff,874995b95ffffff,68,2019,24
87499585bffffff,87499585dffffff,30,2019,46
874995b16ffffff,874995bb1ffffff,82,2019,3
874995b96ffffff,874995b1effffff,44,2019,8
874995b9effffff,874995babffffff,1,2019,8
874995b16ffffff,874995aa6ffffff,23,2019,43
87499585dffffff,874995bacffffff,23,2019,33
874995ba3ffffff,874995b8cffffff,8,2019,46
87499516dffffff,874995bb5ffffff,19,2019,40
874995b8dffffff,874995bb3ffffff,3,2019,24
874995b9affffff,874995aa4ffffff,79,2019,27
874995baeffffff,87499516dffffff,60,2019,8
874995b8effffff,87499585affffff,42,2019,51
874995a34ffffff,874995b81ffffff,75,2019,9
874995b10ffffff,8749958ccffffff,72,2019,43
874995ba2ffffff,874995a36ffffff,61,2019,21
874995b88ffffff,874995ba3ffffff,87,2019,45
8749958c8ffffff,8749958edffffff,61,2019,33
8749958c8ffffff,874995b1effffff,68,2019,11
8749958edffffff,874995ba3ffffff,15,2019,11
874995a34ffffff,874995ba1ffffff,18,2019,2
874995baaffffff,874995b82ffffff,86,2019,9
874995bb0ffffff,874995a36ffffff,94,2019,32
874995848ffffff,874995bb6ffffff,94,2019,49
8749958e9ffffff,87499585cffffff,66,2019,49
874995b90ffffff,8749958eaffffff,87,2019,38
874995ba5ffffff,874995b9cffffff,84,2019,21
874995ba4ffffff,8749958cdffffff,89,2019,28
874995bb0ffffff,8749958cbffffff,25,2019,8
874995b12ffffff,874995161ffffff,3,2019,28
874995859ffffff,874995bb3ffffff,24,2019,6
874995a32ffffff,874995161ffffff,59,2019,43
874995b92ffffff,874995aa6ffffff,83,2019,23
874995b93ffffff,874995aa6ffffff,18,2019,50
874995b81ffffff,8749958eaffffff,68,2019,15
874995b85ffffff,874995bb1ffffff,96,2019,11
874995b8effffff,874995b94ffffff,55,2019,49
874995bb6ffffff,874995b13ffffff,51,2019,45
874995bb1ffffff,874995b16ffffff,66,2019,35
87499585affffff,874995161ffffff,19,2019,19
874995b98ffffff,874995b93ffffff,45,2019,48
874995b91ffffff,874995a30ffffff,29,2019,37
874995843ffffff,874995bb0ffffff,51,2019,45
874995b95ffffff,87499584affffff,64,2019,2
87499585effffff,874995b11ffffff,64,2019,52
874995b95ffffff,874995161ffffff,39,2019,19
8749958cdffffff,874995b9dffffff,65,2019,47
8749958cbffffff,874995bb3ffffff,50,2019,25
874995a30ffffff,874995b16ffffff,60,2019,27
874995b95ffffff,874995b83ffffff,51,2019,19
874995858ffffff,874995b99ffffff,94,2019,44
874995baeffffff,87499585affffff,31,2019,21
874995848ffffff,874995bb4ffffff,17,2019,41
874995badffffff,874995a30ffffff,81,2019,12
874995ba5ffffff,874995b83ffffff,44,2019,17
874995849ffffff,87499585cffffff,2,2019,52
874995ba3ffffff,874995b98ffffff,20,2019,15
8749958cdffffff,874995b96ffffff,28,2019,9
874995b80ffffff,874995b13ffffff,39,2019,42
874995aa6ffffff,874995b88ffffff,9,2019,9
874995ba3ffffff,874995b16ffffff,17,2019,44
874995bb6ffffff,874995b9bffffff,17,2019,52
874995aa6ffffff,87499585affffff,74,2019,50
874995b90ffffff,874995b86ffffff,77,2019,47
874995b8affffff,8749958eaffffff,84,2019,37
874995a36ffffff,874995b94ffffff,90,2019,3
8749958ccffffff,874995ba3ffffff,46,2019,35
874995b82ffffff,874995b98ffffff,25,2019,25
874995b90ffffff,874995b9effffff,35,2019,1
874995b8affffff,87499584bffffff,90,2019,51
874995a36ffffff,8749958c9ffffff,94,2019,8
874995b99ffffff,8749958edffffff,13,2019,35
87499585affffff,874995b10ffffff,29,2019,22
874995bb1ffffff,874995b92ffffff,2,2019,51
874995ba5ffffff,874995b82ffffff,19,2019,26
874995ba6ffffff,87499585cffffff,38,2019,33
874995b82ffffff,874995b92ffffff,34,2019,10
874995aa4ffffff,874995a32ffffff,89,2019,15
